Product Name,MRP,Price,Star Ratings,No. of Ratings,Sales,Brand,Monthly Sales Estimate,Predicted Monthly Sales
"BRICK HOME Printed Poly Cotton Cushion Cover (Grey, Teal, 16X16 Inches) - Set of 5, 250 TC",999.0,549.0,4.2,906.0,,BRICK,0,36.423252275710915
"AEROHAVEN™ Set of 5 Floral Decorative Hand Made Jute Throw/Pillow Cushion Covers - CC23 - (Multicolor, 16 Inch x 16 Inch)",999.0,299.0,4.2,542.0,,AEROHAVEN™,0,48.14480080990425
"STITCHNEST Unique Cute Elephant Cartoon Blue Printed Canvas Cotton Cushion Covers, Set of 5 (12 x 12 Inches)",999.0,379.0,4.3,998.0,,STITCHNEST,0,56.86587543724301
AEROHAVEN™ Set of 5 Decorative Hand Made Jute Throw/Pillow Cushion Covers - CC-173 - (16 x 16 Inch),999.0,349.0,4.1,347.0,,AEROHAVEN™,0,35.681933363800404
"BLUE GRASS Digital Hd Foil Print Velvet Cushion Cover - Set Of 2, 24X24 Inch || Sea Green, 200 TC",1499.0,649.0,4.3,479.0,,BLUE,0,25.816385119701856
"CIDIZY Golden Leaves Cushion Covers, 12x12 Inch, Set of 5, Beige Cream",699.0,379.0,4.1,143.0,,CIDIZY,0,19.22400826722054
"Urvaan Velvet Flower Printed Cushion Cover, 16 x 16 Inch, Set of 6, Multicolour",1399.0,499.0,4.8,7.0,,Urvaan,0,28.874698585119994
"Amazon Brand – Umi. Printed Poly Cotton Cushion Covers, Set of 5 (18 x 18 Inches)",999.0,599.0,4.2,1137.0,,Amazon,0,39.27010047026999
"HOOPY Set of 5 Designer Decorative Throw Pillow/Cushion Covers (16 inch x 16 inch, Owl Print)",999.0,499.0,4.1,76.0,,HOOPY,0,12.589884919997104
"STITCHNEST Floral Printed Poly Cotton Cushion Covers, Set of 2 (12 x 18 Inches)",999.0,279.0,4.2,9.0,,STITCHNEST,0,32.54826019607657
"Khooti Velvet Cushion Cover Decorative Throw Pillow Cover for Living Room Couch Bed Single Sofa, Colourful Soft Modern Medium 16 Inches x 16 Inches / 40.6 cm x 40.6 cm (Colour - Red)(Set of 2 Pieces)",999.0,499.0,3.8,8937.0,,Khooti,0,299.3608009706483
"BRICK HOME Floral Printed Poly Cotton Cushion Covers Set of 2 (12 X 18 Inches) Jasmine, Multi, 180 tc",999.0,379.0,4.0,314.0,50+ bought in past month,BRICK,50,30.42818106538232
Kuber Industries Cushion Cover | Pillow Covers for Sofa | Throw Cushion Cover | Dupion Polyester Cushion Covers | Grey Patang Wire Cushion Covers | Set of 5 | 16 Inch | Black,1699.0,613.0,4.3,37.0,,Kuber,0,19.33651648662996
"AEROHAVEN Cotton blend Decorative Throw Pillow/Cushion Covers (16 x 16 inch, Multicolour) - Set of 5",699.0,341.0,4.0,236.0,,AEROHAVEN,0,24.5419056472061
"Urvaan White Golden Floral Silk Cushion Covers, 16 x 16 Inch, Set of 5",1399.0,399.0,4.1,13.0,,Urvaan,0,29.220924189377804
"STITCHNEST Ikat Yellow Teal Printed Poly Cotton Rectangular Cushion Covers, Set of 2 (12 x 18 Inches)",999.0,329.0,3.9,221.0,,STITCHNEST,0,30.778652984827353
"STITCHNEST Yellow Geometrical Ikat Ethnic Printed Poly Cotton Cushion Covers, Yellow Set of 5 (12 x 12 Inches)",999.0,379.0,4.0,80.0,,STITCHNEST,0,22.749730060786426
"CIDIZY Jute Maple Printed Cushion Cover Set of 2, 24 x 24 Inch, Multicolour",999.0,449.0,4.2,155.0,,CIDIZY,0,21.24634075698504
"STITCHNEST Yellow Geometrical Ikat Ethnic Printed Poly Cotton Cushion Covers, Yellow Set of 5 (12 x 12 Inches)",999.0,379.0,4.0,80.0,,STITCHNEST,0,22.749730060786426
"Encasa Polyester Homes Decorative Cushion Cover 16 X 16 Inch (40 X 40 Cm) - L1 Gold - Floral Digital Printed Large Square Pillow Case For Chair Seat Bed Office & Home (Set Of 2), 160 TC",699.0,528.0,4.0,233.0,,Encasa,0,6.741441339624696
"CIDIZY Jute Maple Printed Cushion Cover Set of 2, 24 x 24 Inch, Multicolour",999.0,449.0,4.2,155.0,,CIDIZY,0,21.24634075698504
"MODERN HOMES Plush Cotton Cushion Covers/Decorative Throw Pillow Covers (Yellow, 16X16 Inch) - Set Of 6, 500 TC",999.0,401.5,4.1,381.0,,MODERN,0,31.827786544974295
"Urvaan White Golden Floral Silk Cushion Covers, 16 x 16 Inch, Set of 5",1399.0,399.0,4.1,13.0,,Urvaan,0,29.220924189377804
"STITCHNEST Cotton 100TC Cushion Cover, 16 x 16 Inches, Grey, Set of 5",999.0,469.0,4.1,834.0,,STITCHNEST,0,40.3027126302731
Yellow Weaves Decorative Jute Texture Cushion Covers (16 X 16 Inches) Set of 5 Multi Colour,749.0,589.0,4.2,848.0,,Yellow,0,24.96352239246827
"FRESH FROM LOOM Jacquard Soft Velvet Cushion Covers | Hypo-Allergenic | Washable | Non-Fade Diwan Sofa Pillow Covers for Home (Size - 16 x16 Inch, Color - Beige) - Set of 5pc",1499.0,568.0,4.2,361.0,,FRESH,0,28.281069610500303
"Cazimo Jacquard Chevron Design Cushion Covers 16*16 inches, Set of 5, (Beige)",1299.0,569.0,4.3,975.0,,Cazimo,0,45.04913780734204
"BLOCKS OF INDIA Hand Block Printed Cotton Cushion Cover (16 X 16 Inches) (Yellow Flower), 300 TC",1999.0,699.0,4.5,40.0,,BLOCKS,0,20.87990952111567
Habere India-All the Cultures Fabricating India | Handmade Designer Premium Sofa Cushion Cover Online (Design 7),2199.0,474.0,4.1,44.0,,Habere,0,41.60239774001954
"Khooti Fabric Cushion Cover, 16x16 inches, Light Linen",381.0,265.0,4.0,4725.0,,Khooti,0,171.6984431980018
"PINK PARROT Dopian silk 180 tc Cushion Covers (16x16-inch, 40x40cm, Multicolour) - Set of 5 Pieces",379.0,378.0,4.1,255.0,,PINK,0,15.608233703124228
"Vendola Satin 250TC Sofa Cushion Pillow Covers, Multicolor, Set of 5 Cushion Covers (16X16 Inches, Blue Smoke)",1999.0,459.0,4.0,11.0,,Vendola,0,35.99249431960941
"STITCHNEST Leaf Yellow Grey Printed Poly Cotton Cushion Covers, Set of 2 (12 x 18 Inches)",999.0,299.0,4.1,334.0,50+ bought in past month,STITCHNEST,50,39.988513882924686
"Vendola Canary Microfiber Satin 250TC Cushion Pillow Covers, Multicolor, Set of 5 (16X16 Inches, Canary)",1999.0,459.0,4.1,804.0,50+ bought in past month,Vendola,50,63.344908758078695
"CASA-NEST Premium Soft Quilted Velvet Print Cushion Cover,Pack of 5 Pc,Bed Cushion/Decorative Sofa Cushion Cover (Size:12x12Inch) (Grey)",999.0,410.0,4.094579439252337,519.5738317757009,,CASA-NEST,0,35.49814855770313
Kuber Industries Flower Printed Cotton Bolster Cover|Ideal 16x32 Inch Size|Soft & Smooth Cotton|Deewan Round Pillow Cover|Pack of 2 (White & Pink)-44KM0129,249.0,236.0,3.9,269.0,50+ bought in past month,Kuber,50,23.847414037401357
"CIDIZY Velvet Traditional Rajasthani Cushion Covers, 16x16 Inch, Multicolour, Set of 5",1399.0,399.0,4.1,407.0,,CIDIZY,0,42.14959810309909
"PINK PARROT Jacquard Cushion Cover (Set for 5-16 x 16 inch, Design 2)",899.0,429.0,4.3,127.0,,PINK,0,21.243815275484074
"Alina Decor Abstract Printed Cushion Covers for Home, Decorative Sofa Throw Pillow Case Soft Rich Fabric Square Pillow Covers for Sofa, Living Room, Bedroom, Couch, Chair (12 x 12 Inches, Set of 2)",499.0,152.0,4.094579439252337,519.5738317757009,,Alina,0,48.381269642451024
"HOMEMONDE Set of 5 Cushion Covers Solid Decorative 16X16 Inch Pillow Cover for Sofa, Couch, Beige",1199.0,749.0,4.1,96.0,,HOMEMONDE,0,-5.8036467293821445
"STITCHNEST Cotton 180TC Cushion Cover, 12 X 18 Inches, Blue, Set of 2",999.0,309.0,4.3,1087.0,,STITCHNEST,0,66.41273751313102
"Amazon Brand - Solimo Peyrab Polyester Printed Cushion Covers, Set of 5, 16 x 16 Inch",629.0,379.0,4.0,88.0,,Amazon,0,14.472648348290356
"Cloth Fusion Velvet Cushion Cover Set Of 5| Hd Gold Foil Print Throw Pillow Covers 16X16 Inches | (Multi, 5), 100 TC",1199.0,949.0,4.1,396.0,,Cloth,0,-14.892123296734912
"Pilovilo Brocade Silk Grey Cushion Covers Set of 2 in Multicoloured Floral Design Festive Size 16""x16"" with Silk Back (Grey Oriental, Set of 2, Regular Size)",1000.0,600.0,4.4,92.0,,Pilovilo,0,7.569993143365203
"Amazon Brand - Umi , Rainbow Colours Printed Poly Cotton Cushion Covers, Set of 5 (16 x 16 Inches)multi, 180 tc",999.0,499.0,4.2,442.0,,Amazon,0,25.930766969737995
"Homa Dorn Luxury Cotton Handmade Decorative Boho Throw Pillow Covers with Tassels 16""X16"" for Decorative Sofa Couch Living Room Indoor Outdoor Chair Car Farmhouse (Rust, 1)",1799.0,499.0,3.7,19.0,,Homa,0,23.859488985889776
haus & kinder Printed & Embroidered Decorative Throw Cushion Cover 12 x 18 inches for Living Room Sofa (Coral Lily),1599.0,799.0,3.9,26.0,,haus,0,-6.263782393980934
"STITCHNEST Pink & Grey Geometrical Printed Poly Cotton Cushion Covers, Set of 5 (16 x 16 Inches)",999.0,479.0,4.0,148.0,,STITCHNEST,0,15.514752536183273
"Brizberry® Designer Decorative Satin Throw Pillow Cushion Covers, Double Side Printing, Set of 5 (16 inch x 16 inch) (Design 8)",1199.0,488.0,4.3,33.0,,Brizberry®,0,19.498173391544398
"Vendola Satin 250TC Sofa Cushion Pillow Covers, Multicolor, Set of 5 Cushion Covers (16X16 Inches, Denver)",1999.0,459.0,4.2,26.0,,Vendola,0,39.14669700757302
PINK PARROT- Jacquard dopian Silk Patch Multi Colour Cushion Cover 16x16 inch-Set 5 pcs,999.0,479.0,4.3,516.0,,PINK,0,31.58325666252133
"ROMEE Soft Jute Rose Floral Print Throw Pillow/Cushion Covers 40cm x 40cm, Set of 5 - Multicolor",1499.0,399.0,3.5,17.0,,ROMEE,0,23.67419496112351
